location,size,total_sqft,bath,balcony,price,BHK,price_per_sqft
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,46.0,3,31420.765027322403
Hennur Road,3 BHK,1866.0,2.0,2.0,61.58,3,33001.0718113612
Kalena Agrahara,3 BHK,1804.0,3.0,2.0,120.0,3,66518.84700665188
Sarjapur,2 BHK,913.0,2.0,1.0,32.0,2,35049.28806133626
Talaghattapura,3 BHK,1868.0,3.0,2.0,131.0,3,70128.47965738758
Kengeri Satellite Town,2 BHK,883.0,2.0,1.0,45.0,2,50962.627406568514
Kogilu,3 BHK,1664.0,2.0,3.0,73.95,3,44441.105769230766
Balagere,2 BHK,1210.0,2.0,1.0,80.9,2,66859.5041322314
Kadugodi,3 BHK,1762.0,3.0,3.0,91.45,3,51901.24858115777
Jigani,3 BHK,1252.0,3.0,3.0,55.0,3,43929.7124600639
Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,34.5,2,40069.68641114983
7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,100.0,3,70422.5352112676
Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,78.8,3,52885.906040268455
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,46.0,3,42790.6976744186
Old Madras Road,3 BHK,1425.0,2.0,2.0,94.0,3,65964.91228070176
Kalena Agrahara,2 BHK,1200.0,2.0,1.0,40.0,2,33333.333333333336
Kaggadasapura,3 BHK,1280.0,2.0,2.0,56.0,3,43750.0
Silver Springs Layout,2 BHK,1084.0,2.0,2.0,50.0,2,46125.46125461254
Chandapura,2 BHK,1015.0,2.0,2.0,25.88,2,25497.536945812808
Kanakpura Road,2 BHK,1017.0,2.0,1.0,51.25,2,50393.31366764995
Haralur Road,2 BHK,1027.0,2.0,2.0,44.0,2,42843.23271665044
Electronic City Phase II,2 BHK,1069.0,2.0,2.0,45.0,2,42095.41627689429
Hebbal,2 BHK,1349.0,2.0,1.0,98.2,2,72794.66271312084
9th Phase JP Nagar,2 BHK,1005.0,2.0,1.0,50.0,2,49751.24378109453
Jakkur,2 BHK,1417.0,2.0,3.0,75.0,2,52928.72265349329
TC Palaya,3 Bedroom,1475.0,3.0,1.0,98.0,3,66440.67796610169
Maruthi Sevanagar,2 BHK,950.0,2.0,2.0,47.0,2,49473.68421052631
Sarjapur  Road,4 BHK,1863.0,3.0,2.0,104.0,4,55823.9398819109
Singasandra,2 BHK,1010.0,2.0,1.0,29.5,2,29207.920792079207
Kalena Agrahara,3 BHK,1425.0,2.0,1.0,70.0,3,49122.80701754386
Vijayanagar,3 BHK,1450.0,3.0,0.0,100.0,3,68965.5172413793
Kothanur,3 BHK,1847.0,3.0,2.0,105.0,3,56848.9442338928
AECS Layout,2 BHK,1100.0,2.0,3.0,45.0,2,40909.09090909091
Mallasandra,3 BHK,1665.0,3.0,2.0,95.0,3,57057.057057057056
Begur,4 BHK,1664.0,4.0,3.0,65.0,4,39062.5
JP Nagar,3 BHK,1850.0,3.0,3.0,150.0,3,81081.08108108108
Panathur,2 BHK,1438.0,2.0,3.0,100.0,2,69541.02920723226
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,3.0,115.0,3,73717.94871794872
Yelahanka,2 BHK,1350.0,2.0,1.0,55.55,2,41148.14814814815
Kanakpura Road,3 BHK,1550.0,3.0,3.0,67.0,3,43225.8064516129
Malleshpalya,2 BHK,1140.0,2.0,2.0,46.5,2,40789.47368421053
Kodathi,2 BHK,850.0,2.0,2.0,27.0,2,31764.70588235294
Whitefield,2 BHK,1280.0,2.0,2.0,75.0,2,58593.75
Munnekollal,2 BHK,1170.0,2.0,2.0,52.0,2,44444.444444444445
Motappa Layout,2 BHK,1113.0,2.0,1.0,51.0,2,45822.10242587601
Hennur Road,2 BHK,1385.0,2.0,1.0,83.09,2,59992.779783393504
Electronic City,2 BHK,1128.0,2.0,1.0,65.0,2,57624.113475177306
Haralur Road,3 BHK,1464.0,3.0,2.0,56.0,3,38251.366120218576
Manayata Tech Park,2 BHK,1200.0,2.0,2.0,55.0,2,45833.333333333336
Kaval Byrasandra,2 BHK,1200.0,2.0,2.0,52.0,2,43333.333333333336
Kaggalipura,3 BHK,1150.0,2.0,1.0,55.0,3,47826.086956521736
Basavanna Nagar,3 BHK,1645.0,3.0,2.0,95.0,3,57750.759878419456
Sarjapur  Road,2 BHK,1000.0,2.0,1.0,67.0,2,67000.0
6th Phase JP Nagar,2 BHK,1192.0,2.0,2.0,74.0,2,62080.53691275168
Whitefield,2 BHK,1173.0,2.0,1.0,58.0,2,49445.86530264279
Uttarahalli,2 BHK,1020.0,2.0,2.0,45.0,2,44117.64705882353
Somasundara Palya,3 BHK,1600.0,3.0,3.0,64.0,3,40000.0
T.C PALYA,2 Bedroom,1200.0,2.0,0.0,79.0,2,65833.33333333333
Muneshwara Nagar,2 BHK,1230.0,2.0,3.0,48.0,2,39024.39024390244
Devarachikkanahalli,2 BHK,1250.0,2.0,2.0,40.0,2,32000.0
Kalena Agrahara,2 BHK,1325.0,2.0,2.0,76.0,2,57358.49056603773
7th Phase JP Nagar,3 BHK,1850.0,3.0,1.0,150.0,3,81081.08108108108
Basaveshwara Nagar,2 BHK,1200.0,2.0,2.0,65.0,2,54166.66666666666
Bommasandra,3 BHK,1260.0,3.0,1.0,49.36,3,39174.60317460317
Ardendale,2 BHK,1100.0,2.0,1.0,43.25,2,39318.181818181816
Harlur,2 BHK,1508.0,2.0,1.0,77.0,2,51061.00795755968
Sampigehalli,3 BHK,1592.0,3.0,2.0,75.0,3,47110.5527638191
Akshaya Nagar,2 BHK,1388.0,2.0,3.0,57.0,2,41066.28242074928
Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,1.0,125.0,3,70942.11123723042
Bagalur Main Road,2 BHK,950.0,2.0,2.0,50.0,2,52631.57894736842
Magadi Road,2 BHK,1116.0,2.0,1.0,50.0,2,44802.86738351255
Narayanapura,2 BHK,1308.0,2.0,2.0,89.04,2,68073.39449541284
MS Pallya,3 BHK,1200.0,3.0,0.0,90.0,3,75000.0
Hennur,2 BHK,1075.0,2.0,1.0,52.0,2,48372.09302325582
Bellandur,2 BHK,1205.0,2.0,3.0,66.0,2,54771.78423236514
5th Phase JP Nagar,2 BHK,1075.0,2.0,2.0,60.0,2,55813.95348837209
KR Puram,2 BHK,930.0,2.0,2.0,39.0,2,41935.48387096774
Balagere,2 BHK,1380.0,2.0,1.0,60.0,2,43478.260869565216
Kodigehaali,2 BHK,1166.0,2.0,2.0,55.0,2,47169.81132075472
Bannerghatta Road,2 BHK,1050.0,2.0,1.0,65.0,2,61904.76190476191
Begur Road,2 BHK,1200.0,2.0,2.0,46.8,2,39000.0
Lakshminarayana Pura,3 BHK,1600.0,2.0,1.0,108.0,3,67500.0
Electronic City,3 BHK,1800.0,3.0,2.0,95.0,3,52777.77777777778
Jalahalli,3 BHK,1400.0,3.0,0.0,77.0,3,55000.0
Hegde Nagar,3 BHK,1801.0,3.0,2.0,115.0,3,63853.41476957246
Anekal,2 Bedroom,1200.0,1.0,1.0,36.0,2,30000.0
Begur Road,2 BHK,1160.0,2.0,2.0,44.0,2,37931.03448275862
Kengeri,2 BHK,1000.0,2.0,1.0,25.0,2,25000.0
Kanakpura Road,2 BHK,950.0,2.0,1.0,40.0,2,42105.26315789474
"Hoodi Circle,",3 BHK,1629.0,3.0,2.0,79.0,3,48496.00982197667
Vijayanagar,3 BHK,1826.0,3.0,2.0,121.0,3,66265.06024096385
7th Phase JP Nagar,2 BHK,1245.0,2.0,1.0,94.0,2,75502.00803212852
Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,2.0,45.79,2,39991.26637554585
Sompura,2 BHK,825.0,2.0,1.0,33.0,2,40000.0
Yeshwanthpur,3 BHK,1693.0,3.0,3.0,108.0,3,63792.08505611341
Electronics City Phase 1,2 BHK,1113.27,2.0,2.0,53.0,2,47607.49863016159
Ashirvad Colony,2 BHK,1460.0,2.0,1.0,58.0,2,39726.02739726027
Doddathoguru,2 BHK,1050.0,2.0,1.0,32.0,2,30476.19047619048
Dodda Nekkundi,2 BHK,1260.0,2.0,2.0,55.0,2,43650.79365079365
Hosur Road,2 BHK,1656.0,2.0,1.0,120.0,2,72463.76811594203
Chandapura,3 BHK,1208.0,3.0,1.0,45.0,3,37251.65562913907
Battarahalli,2 Bedroom,1200.0,2.0,1.0,65.0,2,54166.66666666666
7th Phase JP Nagar,2 BHK,1175.0,2.0,1.0,82.0,2,69787.23404255319
Kengeri,1 BHK,1285.9964027518652,1.0,0.0,18.5,1,49976.21764110642
Kanakpura Road,3 BHK,1550.0,3.0,3.0,64.5,3,41612.90322580645
Amco Colony,3 BHK,1760.0,3.0,2.0,88.0,3,50000.0
Billekahalli,2 BHK,1125.0,2.0,2.0,62.0,2,55111.11111111111
Anandapura,2 Bedroom,1000.0,2.0,1.0,55.0,2,55000.0
Bommasandra Industrial Area,2 BHK,1090.0,2.0,2.0,31.48,2,28880.73394495413
TC Palaya,2 Bedroom,1200.0,2.0,0.0,60.0,2,50000.0
Bommasandra,2 BHK,1060.0,2.0,1.0,26.5,2,25000.0
Ambalipura,2 BHK,1105.0,2.0,1.0,75.0,2,67873.30316742082
Hoodi,2 BHK,985.0,2.0,2.0,67.0,2,68020.30456852792
Balagere,3 BHK,1590.0,3.0,2.0,79.0,3,49685.53459119497
CV Raman Nagar,2 BHK,1120.0,2.0,2.0,55.0,2,49107.142857142855
Samethanahalli,2 BHK,1069.0,2.0,1.0,55.0,2,51449.95322731525
Hosur Road,2 BHK,1194.0,2.0,0.0,69.0,2,57788.94472361809
Brookefield,2 BHK,1150.0,2.0,3.0,69.0,2,60000.0
Yelenahalli,2 BHK,1240.0,2.0,2.0,47.12,2,38000.0
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,2.0,48.1,2,33897.11064129669
Suddaguntepalya,3 BHK,1450.0,3.0,2.0,55.0,3,37931.03448275862
Udayapur Village,3 BHK,1630.0,3.0,2.0,68.29,3,41895.7055214724
Bellandur,2 BHK,1250.0,2.0,1.0,76.0,2,60800.0
7th Phase JP Nagar,3 BHK,1400.0,2.0,1.0,95.0,3,67857.14285714286
Sarjapur  Road,3 BHK,1670.0,2.0,3.0,57.0,3,34131.73652694611
Ardendale,3 BHK,1750.0,3.0,2.0,100.0,3,57142.857142857145
Vittasandra,2 BHK,1404.0,2.0,1.0,71.0,2,50569.80056980057
Hoodi,3 BHK,1715.0,2.0,2.0,95.0,3,55393.5860058309
Harlur,3 BHK,1752.12,3.0,2.0,135.0,3,77049.51715635916
Hulimavu,3 BHK,1650.0,3.0,2.0,78.0,3,47272.72727272727
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,1.0,55.47,2,42833.976833976834
Sarjapur  Road,2 BHK,1346.0,2.0,1.0,74.03,2,55000.0
Hormavu,2 BHK,1150.0,2.0,2.0,55.0,2,47826.086956521736
Chandapura,3 BHK,1190.0,2.0,2.0,30.35,3,25504.201680672268
AECS Layout,3 BHK,1620.0,3.0,2.0,98.0,3,60493.82716049383
Marathahalli,2 BHK,950.0,2.0,1.0,46.96,2,49431.57894736842
Electronic City Phase II,3 BHK,1220.0,2.0,1.0,35.23,3,28877.049180327867
Hoysalanagar,2 BHK,850.0,2.0,1.0,30.0,2,35294.117647058825
Padmanabhanagar,2 BHK,1020.0,2.0,2.0,63.0,2,61764.705882352944
Chikkalasandra,2 BHK,1100.0,2.0,2.0,50.0,2,45454.545454545456
Hebbal,3 BHK,1760.0,2.0,2.0,130.0,3,73863.63636363637
Ambalipura,3 BHK,1800.0,3.0,3.0,110.0,3,61111.11111111111
Akshaya Nagar,2 BHK,1070.0,2.0,1.0,54.0,2,50467.28971962617
Vidyaranyapura,2 Bedroom,1440.0,2.0,0.0,95.0,2,65972.22222222222
Amruthahalli,2 BHK,900.0,2.0,1.0,40.0,2,44444.444444444445
Whitefield,2 BHK,1130.0,2.0,1.0,42.16,2,37309.734513274336
Kodigehalli,2 BHK,1270.0,2.0,1.0,98.0,2,77165.35433070867
Patelappa Layout,2 BHK,1200.0,2.0,1.0,62.0,2,51666.66666666666
NS Palya,2 BHK,1200.0,2.0,1.0,74.0,2,61666.66666666666
Subramanyapura,2 BHK,929.0,2.0,0.0,50.17,2,54004.3057050592
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,56.0,3,38251.366120218576
Chikkalasandra,2 BHK,1208.0,2.0,1.0,49.0,2,40562.91390728477
Hebbal Kempapura,2 BHK,1130.0,2.0,2.0,60.0,2,53097.345132743365
Surabhi Layout,3 BHK,1753.0,3.0,2.0,120.0,3,68454.07872219053
Hoodi,2 BHK,1196.0,2.0,2.0,94.42,2,78946.48829431437
5th Phase JP Nagar,2 BHK,1150.0,3.0,3.0,52.5,2,45652.17391304348
Electronic City,2 BHK,1128.0,2.0,1.0,63.0,2,55851.06382978724
Omkar Nagar,2 BHK,1000.0,2.0,1.0,53.0,2,53000.0
Yelahanka,2 BHK,1035.0,2.0,1.0,45.0,2,43478.260869565216
Kereguddadahalli,2 BHK,950.0,2.0,1.0,32.0,2,33684.21052631579
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,36.0,3,33488.37209302326
Whitefield,2 BHK,1040.0,2.0,1.0,48.5,2,46634.61538461538
Lingadheeranahalli,3 BHK,1511.0,3.0,1.0,95.0,3,62872.2700198544
Silk Board,3 BHK,1300.0,3.0,1.0,58.0,3,44615.38461538462
Hoodi,3 BHK,1545.0,3.0,1.0,68.75,3,44498.38187702266
